title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
AdĐiện Thoại Samsung Galaxy A51 (6GB/128GB) - Hàng Chính Hãng,5957600,Yes,No,226,6324361101683,https://tiki.vn/dien-thoai-samsung-galaxy-a51-128gb-6gb-hang-chinh-hang-p45339109.html?spid=45339111&src=ss-ads,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/8b/0f/1c/5869b6fd18e751f3f793b35e3a0dc0fd.jpg,No,,Yes,No,25
Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng,2550000,Yes,No,164,7222067238834,https://tiki.vn/dien-thoai-oppo-a12-3gb-32gb-hang-chinh-hang-xanh-duong-p53827214.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/aa/f2/95/c0c73883ea383b2eedbeda927ab615dd.jpg,No,,No,No,15
Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,2190000,Yes,No,82,4080135903847,https://tiki.vn/dien-thoai-realme-c11-2gb-32gb-hang-chinh-hang-p58065346.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/c5/a1/cd/b9f3e343440b02c54f95a9034990e0d5.jpg,No,,No,No,19
Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng,3390000,Yes,No,859,9388231832982,https://tiki.vn/dien-thoai-vsmart-live-4-hang-chinh-hang-p63839533.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/cd/92/da/3360d9dcb541dd5d2aaa59ae0ad6b1c5.jpg,Yes,,No,No,29
AdĐiện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng,4790000,Yes,No,1595,1510492616997,https://tiki.vn/dien-thoai-samsung-galaxy-m31-6gb-128gb-hang-chinh-hang-p58259141.html?spid=58259145&src=ss-ads,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/bc/4f/8f/6b0fecb528ad41c871032eb22980e290.jpg,Yes,,Yes,No,26
Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,29990000,Yes,Yes,419,5659170738265,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p70771651.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,12
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1950000,No,No,No,6693737306374,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/cd/34/0b6abf38aaba0a3507c7c2610a15dc9f.jpg,No,,No,No,2
Điện thoại Xiaomi POCO M3 - HÀNG CHÍNH HÃNG,3209000,Yes,No,15,9242399598718,https://tiki.vn/dien-thoai-xiaomi-poco-m3-hang-chinh-hang-p74240829.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/16/a0/81/3683e22e52b8a6593a347578eb599ecc.JPG,No,,Yes,No,20
AdĐiện Thoại Samsung Galaxy M11 (3GB/32GB) - Hàng Chính Hãng,2790000,Yes,No,974,4387243444522,https://tiki.vn/dien-thoai-samsung-galaxy-m11-3gb-32gb-hang-chinh-hang-p52717588.html?spid=52717592&src=ss-ads,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/3c/2e/83/1fe324e3e614c92cce21f3bf70812998.jpg,Yes,,No,No,24
Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng,2590000,Yes,No,1354,6698038721819,https://tiki.vn/dien-thoai-vsmart-joy-4-hang-chinh-hang-p67910637.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/52/db/ed/250ed1f223e0711ac9f3ea93ade7074d.jpg,No,,No,No,21
Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,16290000,Yes,No,592,7227671929864,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/31879ad1c9cf92b35e58749268ba4ff7.jpg,No,,Yes,No,29
Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng,11490000,Yes,No,327,3893355119421,https://tiki.vn/dien-thoai-samsung-galaxy-s20-fe-hang-chinh-hang-p68693081.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/14/8b/ba/29bd9f2e0707fc37cdb58d339ae81c90.jpg,Yes,,Yes,Yes,28
"AdMáy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Hàng Chính Hãng",3250000,Yes,No,384,4768055136698,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-hang-chinh-hang-p21464946.html?spid=21464948&src=ss-ads,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/c8/a9/e2/f498568b47e0691ddac20620cfa73264.jpg,No,,Yes,No,12
Điện Thoại Samsung Galaxy A10s (2GB/32GB) - Hàng Chính Hãng,2390000,Yes,No,285,7516299415539,https://tiki.vn/dien-thoai-samsung-galaxy-a10s-32gb-2gb-hang-chinh-hang-p25918805.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/e3/a5/b4/e4bbe8c4dc2d9199d29d15c577daf0ea.jpg,No,,No,No,35
