title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
AdMáy tính bảng Vankyo MatrixPad S20 - Hàng Chính Hãng,3490000,No,No,5,5720984655915,https://tiki.vn/may-tinh-bang-vankyo-matrixpad-s20-hang-chinh-hang-p72042076.html?spid=72042077&src=ss-ads,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/83/1d/47/b6ee30f0007f9d8813b8abaa0f101dd8.jpg,No,,No,No,34
Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng,2550000,Yes,No,164,7222067238834,https://tiki.vn/dien-thoai-oppo-a12-3gb-32gb-hang-chinh-hang-xanh-duong-p53827214.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/aa/f2/95/c0c73883ea383b2eedbeda927ab615dd.jpg,No,,No,No,15
Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,29990000,Yes,Yes,419,5659170738265,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p70771651.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,12
Điện Thoại Samsung Galaxy A51 (6GB/128GB) - Hàng Chính Hãng,5950000,Yes,No,226,6324361101683,https://tiki.vn/dien-thoai-samsung-galaxy-a51-128gb-6gb-hang-chinh-hang-p45339109.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/3c/63/c6/945022e908a056d35e7ac76be6f6d23f.jpg,No,,Yes,No,26
Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng,3390000,Yes,No,859,9388231832982,https://tiki.vn/dien-thoai-vsmart-live-4-hang-chinh-hang-p63839533.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/cd/92/da/3360d9dcb541dd5d2aaa59ae0ad6b1c5.jpg,Yes,,No,No,29
Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,2190000,Yes,No,82,4080135903847,https://tiki.vn/dien-thoai-realme-c11-2gb-32gb-hang-chinh-hang-p58065346.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/c5/a1/cd/b9f3e343440b02c54f95a9034990e0d5.jpg,No,,No,No,19
Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng,4790000,Yes,No,1594,1510492616997,https://tiki.vn/dien-thoai-samsung-galaxy-m31-6gb-128gb-hang-chinh-hang-p58259141.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/50/86/f1/8c08d595e64661d3d0d9438ca2194de3.jpg,Yes,,Yes,No,26
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1950000,No,No,No,6693737306374,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/cd/34/0b6abf38aaba0a3507c7c2610a15dc9f.jpg,No,,No,No,2
Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,16290000,Yes,No,592,7227671929864,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/31879ad1c9cf92b35e58749268ba4ff7.jpg,No,,Yes,No,29
Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,32490000,Yes,Yes,384,6411469851647,https://tiki.vn/dien-thoai-iphone-12-pro-max-256gb-hang-chinh-hang-p71197117.html?src=ss-organic,4.9,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,14
